@RELATION pizza

@ATTRIBUTE tipo			{H,P4}
@ATTRIBUTE masa 		REAL           
@ATTRIBUTE queso		REAL 
@ATTRIBUTE champ		REAL 
@ATTRIBUTE chorizo		REAL 
@ATTRIBUTE carne		REAL 
@ATTRIBUTE tocino		REAL 
@ATTRIBUTE jamon		REAL 
@ATTRIBUTE pinia		REAL 
@ATTRIBUTE class 		{great,good,bad}

@DATA
P4,57.92,15.15,6.96,4.36,4.39,5.47,0.0,0.0,great
P4,57.72,15.27,7.47,4.74,3.98,5.28,0.0,0.0,great
P4,55.06,16.55,7.91,3.35,4.01,4.21,0.0,0.0,great
P4,56.02,18.12,8.10,3.84,3.95,5.12,0.0,0.0,great
P4,57.98,19.60,7.94,4.14,3.65,4.25,0.0,0.0,great
P4,58.37,17.72,4.06,4.73,4.11,5.37,0.0,0.0,great
P4,56.81,21.80,5.38,4.60,4.38,4.55,0.0,0.0,great
P4,56.67,19.97,4.92,3.35,5.06,5.81,0.0,0.0,great
P4,55.13,21.49,7.75,3.37,5.51,4.89,0.0,0.0,great
P4,56.36,15.74,8.10,4.51,4.46,5.34,0.0,0.0,great
P4,57.01,19.62,5.53,3.42,5.04,5.64,0.0,0.0,great
P4,57.20,19.36,7.83,3.50,5.40,5.53,0.0,0.0,great
P4,56.02,16.18,5.57,3.67,3.55,4.88,0.0,0.0,great
P4,58.53,17.28,5.46,3.81,4.33,4.60,0.0,0.0,great
P4,58.04,15.80,8.17,4.43,4.92,5.50,0.0,0.0,great
P4,58.62,16.77,7.22,4.51,5.57,4.43,0.0,0.0,great
P4,57.24,18.45,6.04,3.83,4.44,5.16,0.0,0.0,great
P4,56.32,23.15,8.16,3.45,4.55,5.77,0.0,0.0,great
P4,55.71,18.21,7.98,4.83,5.12,4.56,0.0,0.0,great
P4,55.20,15.32,4.50,3.67,5.42,5.92,0.0,0.0,great
P4,58.62,20.89,5.72,3.42,4.20,4.92,0.0,0.0,great
P4,58.69,23.32,4.40,3.58,3.76,4.14,0.0,0.0,great
P4,57.50,20.63,4.75,3.63,4.44,4.48,0.0,0.0,great
P4,58.39,22.55,6.75,3.36,5.33,4.45,0.0,0.0,great
P4,57.52,16.09,6.39,4.79,5.24,5.17,0.0,0.0,great
P4,55.97,22.34,7.92,3.49,4.43,4.74,0.0,0.0,great
P4,58.83,21.31,4.38,4.88,4.17,5.02,0.0,0.0,great
P4,58.18,22.21,6.26,4.81,4.11,5.45,0.0,0.0,great
P4,55.45,22.62,7.67,4.69,5.20,5.46,0.0,0.0,great
P4,56.91,18.70,6.90,3.21,5.54,5.77,0.0,0.0,great
P4,58.90,21.64,7.59,3.91,5.08,4.78,0.0,0.0,great
P4,58.66,17.31,5.28,4.09,4.89,5.85,0.0,0.0,great
P4,56.79,21.05,6.21,4.20,3.51,4.57,0.0,0.0,great
P4,58.21,18.46,4.17,4.03,5.31,4.24,0.0,0.0,great
P4,58.54,16.22,7.26,3.37,4.37,5.84,0.0,0.0,great
P4,57.50,23.47,5.01,3.81,5.34,5.73,0.0,0.0,great
P4,56.59,23.69,7.04,3.72,3.87,4.89,0.0,0.0,great
P4,58.62,21.17,6.20,3.86,5.09,5.67,0.0,0.0,great
P4,55.54,23.22,7.32,4.73,5.05,5.15,0.0,0.0,great
P4,56.08,19.30,7.56,3.50,4.33,4.70,0.0,0.0,great
P4,55.56,17.75,7.56,4.15,4.76,4.00,0.0,0.0,great
