@RELATION pizza

@ATTRIBUTE tipo			{H,P4}
@ATTRIBUTE masa 		REAL           
@ATTRIBUTE queso		REAL 
@ATTRIBUTE champ		REAL 
@ATTRIBUTE chorizo		REAL 
@ATTRIBUTE carne		REAL 
@ATTRIBUTE tocino		REAL 
@ATTRIBUTE jamon		REAL 
@ATTRIBUTE pinia		REAL 
@ATTRIBUTE class 		{great,good,bad}

@DATA
P4,55.38,18.85,8.54,4.56,4.69,4.06,0.0,0.0,great
P4,57.24,21.92,7.53,3.35,4.08,4.32,0.0,0.0,great
P4,56.96,20.78,7.08,4.64,4.26,4.70,0.0,0.0,great
P4,56.86,22.68,6.99,4.88,5.15,5.13,0.0,0.0,great
P4,58.85,23.47,8.54,4.28,5.37,5.70,0.0,0.0,great
P4,55.38,22.69,8.45,3.43,5.33,5.47,0.0,0.0,great
P4,57.25,22.14,5.84,4.01,3.52,4.29,0.0,0.0,great
P4,58.95,23.42,5.58,3.61,4.65,5.29,0.0,0.0,great
P4,56.05,20.29,4.01,4.14,4.13,4.98,0.0,0.0,great
P4,57.03,15.99,6.66,4.42,5.08,4.95,0.0,0.0,great
P4,55.60,19.01,8.17,3.42,5.49,4.89,0.0,0.0,great
P4,55.82,23.62,5.79,3.54,5.36,5.87,0.0,0.0,great
P4,55.09,17.92,4.67,4.51,5.12,5.63,0.0,0.0,great
P4,55.65,20.92,4.77,3.22,4.88,5.86,0.0,0.0,great
P4,58.30,22.72,5.51,4.68,4.85,5.74,0.0,0.0,great
P4,58.72,16.17,7.41,4.23,4.36,4.20,0.0,0.0,great
P4,55.06,21.92,6.18,4.11,3.51,5.95,0.0,0.0,great
P4,58.95,15.36,7.96,3.58,4.63,5.25,0.0,0.0,great
P4,55.44,19.44,8.18,3.78,5.27,4.81,0.0,0.0,great
P4,58.99,16.91,5.68,3.21,3.96,4.23,0.0,0.0,great
P4,56.92,21.16,5.97,4.60,3.96,5.73,0.0,0.0,great
P4,57.48,20.74,7.95,4.53,3.88,4.15,0.0,0.0,great
P4,58.69,21.80,6.53,4.58,5.04,5.20,0.0,0.0,great
P4,55.97,21.80,4.97,4.03,4.35,4.76,0.0,0.0,great
P4,56.67,18.32,5.43,4.37,4.77,4.72,0.0,0.0,great
P4,57.43,15.07,4.96,4.39,3.41,5.28,0.0,0.0,great
P4,55.72,23.41,7.47,4.35,5.03,5.19,0.0,0.0,great
P4,55.51,22.63,5.82,3.77,5.02,5.99,0.0,0.0,great
P4,55.88,20.55,4.50,4.69,5.05,4.75,0.0,0.0,great
P4,56.87,18.54,5.42,4.31,3.41,5.83,0.0,0.0,great
P4,56.71,16.72,6.48,3.79,4.36,4.18,0.0,0.0,great
P4,58.95,21.97,4.99,3.44,4.67,4.01,0.0,0.0,great
P4,57.33,17.11,5.92,3.35,5.06,4.24,0.0,0.0,great
P4,57.52,23.43,8.00,3.82,5.40,5.10,0.0,0.0,great
P4,57.42,20.78,4.38,4.67,4.52,5.44,0.0,0.0,great
P4,55.02,16.90,7.67,3.60,5.16,5.12,0.0,0.0,great
P4,58.86,17.62,5.55,3.32,5.24,4.16,0.0,0.0,great
P4,57.36,17.98,5.43,3.71,4.31,5.19,0.0,0.0,great
P4,56.21,23.01,4.73,4.40,3.88,5.22,0.0,0.0,great
P4,56.60,22.65,6.55,4.02,3.66,4.60,0.0,0.0,great
P4,55.15,19.98,6.37,3.76,3.78,5.09,0.0,0.0,great
P4,58.05,23.54,7.83,4.74,5.50,5.60,0.0,0.0,great
P4,55.44,19.87,6.98,4.19,4.39,5.88,0.0,0.0,great
P4,56.76,20.28,7.39,4.45,3.85,4.92,0.0,0.0,great
P4,58.59,22.27,7.49,3.61,3.88,5.62,0.0,0.0,great
P4,58.58,21.18,6.94,4.48,5.59,4.91,0.0,0.0,great
P4,58.65,20.15,7.13,3.50,4.74,5.63,0.0,0.0,great
P4,55.89,20.95,7.47,4.32,5.12,4.93,0.0,0.0,great
P4,58.88,15.27,8.15,4.48,5.11,4.64,0.0,0.0,great
P4,55.08,15.53,4.16,3.83,3.99,5.48,0.0,0.0,great
P4,55.96,20.31,4.80,3.47,5.12,5.70,0.0,0.0,great
P4,56.60,18.41,4.28,4.12,3.86,4.03,0.0,0.0,great
P4,58.61,20.18,7.67,3.35,4.41,4.69,0.0,0.0,great
P4,56.14,17.47,5.77,4.28,4.88,5.24,0.0,0.0,great
P4,55.16,17.93,7.94,4.79,5.45,4.30,0.0,0.0,great
P4,55.93,17.83,7.42,3.78,4.18,5.84,0.0,0.0,great
P4,58.41,22.75,7.05,3.20,4.15,4.09,0.0,0.0,great
P4,55.68,18.11,4.82,3.27,4.88,5.51,0.0,0.0,great
P4,56.74,23.38,4.10,4.79,3.58,5.40,0.0,0.0,great
P4,57.76,16.11,4.74,3.57,5.30,4.43,0.0,0.0,great
P4,58.82,17.11,4.67,4.11,5.58,5.90,0.0,0.0,great
P4,58.70,19.04,6.98,3.42,4.37,4.02,0.0,0.0,great
P4,56.60,23.10,6.63,3.85,5.06,4.53,0.0,0.0,great
P4,56.83,18.13,5.15,3.39,3.47,4.63,0.0,0.0,great
P4,58.76,23.77,7.72,3.97,3.80,4.37,0.0,0.0,great
P4,55.89,15.81,7.25,4.76,3.68,4.95,0.0,0.0,great
P4,56.43,21.25,4.83,4.74,3.58,4.77,0.0,0.0,great
P4,55.30,22.76,5.47,3.60,5.32,4.37,0.0,0.0,great
P4,55.42,20.54,8.33,4.22,5.31,4.15,0.0,0.0,great
P4,56.40,22.20,4.69,3.62,5.45,4.26,0.0,0.0,great
P4,55.65,18.58,6.50,3.92,4.32,5.98,0.0,0.0,great
P4,57.33,22.54,6.23,4.13,3.76,5.67,0.0,0.0,great
P4,55.62,15.64,7.95,4.88,4.20,5.74,0.0,0.0,great
P4,56.98,18.56,5.80,3.48,5.34,5.10,0.0,0.0,great
