@relation ConsolidatedTrainData

@attribute frame.len numeric
@attribute eth.padding numeric
@attribute tcp.len numeric
@attribute tcp.seq numeric
@attribute tcp.srcport numeric
@attribute tcp.dstport numeric
@attribute tcp.flags.fin numeric
@attribute tcp.flags.syn numeric
@attribute tcp.flags.reset numeric
@attribute tcp.flags.push numeric 
@attribute tcp.flags.ack numeric
@attribute tcp.window_size numeric 
@attribute tcp.segment_data numeric
@attribute type {SYNFLOOD,NORMAL,SLOWLORISHTTPDOS}

@data

74,0,0,0,43749,80,0,1,0,0,0,29200,0,SLOWLORISHTTPDOS
74,0,0,0,43750,80,0,1,0,0,0,29200,0,SLOWLORISHTTPDOS
74,0,0,0,43751,80,0,1,0,0,0,29200,0,SLOWLORISHTTPDOS
296,0,230,1,43596,80,0,0,0,1,1,29696,1,SLOWLORISHTTPDOS
296,0,230,1,43709,80,1,0,0,1,1,29696,1,SLOWLORISHTTPDOS
74,0,0,0,43752,80,0,1,0,0,0,29200,0,SLOWLORISHTTPDOS
74,0,0,0,43753,80,0,1,0,0,0,29200,0,SLOWLORISHTTPDOS
296,0,230,1,43747,80,0,0,0,1,1,29696,1,SLOWLORISHTTPDOS
296,0,230,1,43756,80,0,0,0,1,1,29696,1,SLOWLORISHTTPDOS
304,0,238,1,43406,80,1,0,0,1,1,29696,1,SLOWLORISHTTPDOS
296,0,230,1,43407,80,0,0,0,1,1,29696,1,SLOWLORISHTTPDOS
296,0,230,1,43746,80,0,0,0,1,1,29696,1,SLOWLORISHTTPDOS
296,0,230,1,43747,80,0,0,0,1,1,29696,1,SLOWLORISHTTPDOS
296,0,230,1,43754,80,0,0,0,1,1,29696,1,SLOWLORISHTTPDOS
296,0,230,1,43597,80,0,0,0,1,1,29696,1,SLOWLORISHTTPDOS
296,0,230,1,43756,80,0,0,0,1,1,29696,1,SLOWLORISHTTPDOS
304,0,238,1,43740,80,0,0,0,1,1,29696,1,SLOWLORISHTTPDOS
296,0,230,1,43739,80,1,0,0,1,1,29696,1,SLOWLORISHTTPDOS
296,0,230,1,43696,80,1,0,0,1,1,29696,1,SLOWLORISHTTPDOS
74,0,0,0,43757,80,0,1,0,0,0,29200,0,SLOWLORISHTTPDOS
74,0,8,9,42295,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
74,0,8,9,42300,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
74,0,8,9,42304,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
74,0,8,9,42307,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
74,0,8,9,42312,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
74,0,8,9,42315,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
74,0,8,9,42318,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
74,0,8,9,42320,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
74,0,8,9,42324,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
74,0,8,9,42329,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
74,0,8,9,42388,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
74,0,8,9,42395,80,0,0,0,1,1,29,0,SLOWLORISHTTPDOS
